,hotel_name,name,overall_rating,overall_review,location_and_surrounding_review,location_and_surrounding_rating,room_review,room_rating,service_review,service_rating,gastronomy_review,gastronomy_rating,sports_and_entertainment_review,sports_and_entertainment_rating,hotel_review,hotel_rating,traveled_as,children,duration,reason_for_travel,age_group,reviews_written
0,Hotel Roomers,Timo,6.0,"Wie bereits mehrfach erwähnt, bin ich gerne ein Gast im Roomers und leider „schaffe“ oder denke ich nicht immer daran, eine Bewertung zu jedem Hotel dazulassen.

Allerdings muss man hier einfach sagen, dass das Team im Roomers wirklich tolle Arbeit leistet und die Mädels und Jungs einfach eine positive Bewertung verdient haben. Das Hostteam und die Bar möchte ich hier besonders hervorheben, denn wieder einmal wurden fast alle Wünsche sehr gut umgesetzt. Davon lebt ein Hotel.

Bitte auch die anderen Bewertungen zum Roomers beachten.",,4.0,,6.0,,6.0,,6.0,,,,6.0,Freunde,Keine Kinder,1-3 Tage im Februar 2019,Stadt,26-30,29
1,Hotel Roomers,Benjamin,6.0,"Tolles Hotel der gehobenen Klasse. Freundlicher, zuvorkommender Service und sehr gutes Essen. Modern gestaltete Zimmer. Immer wieder gerne!",,,,,,,,,,,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im Januar 2019,Arbeit,26-30,11
2,Hotel Roomers,Isa,5.0,Das Hotel eignet sich perfekt für entspannte Stunden zu zweit. Das Ambiente ist sehr stilvoll und der Wellnessbereich über den Dächern Frankfurts lässt den Alltag vergessen.,Ganz in der Nähe vom Hauptbahnhof und dem Bahnhofsviertel mit ansprechenden Locations.,5.0,Die Zimmer sind einzigartig im Design und die Betten himmlisch.,5.0,Das Personal ist immer überaus freundlich und zuvorkommend.,6.0,"Sowohl das Frühstück, als auch das Restaurant und die Bar sind erstklassig.",6.0,"Unbedingt zu empfehlen der kleine, aber feine Wellnessbereich.",6.0,,,Paar,Keine Kinder,1-3 Tage im Januar 2019,Wandern und Wellness,41-45,7
3,Hotel Roomers,Iryna,6.0,"Sehr cooles Hotel in Frankfurt, nach 10 besuchen immer noch jedes mal begeistert, tolles Spa, super Bar, super Restaurant",Gute Lage am Hbf in Frankfurt,6.0,Klein aber sehr chic,6.0,cool und sehr gut,6.0,weltklasse bar und restaurant,6.0,super spa im coolen design,6.0,,,Paar,Keine Kinder,3-5 Tage im Dezember 2018,Wandern und Wellness,36-40,40
4,Hotel Roomers,Timo,6.0,"Normalerweise bin ich mittlerweile etwas „bewertungsfaul“ geworden und poste schon lange nicht mehr zu jedem Hotel hier etwas, allerdings muss ich wirklich sagen, dass das Roomers einfach eine Bewertung verdient hat.

Ich war nun schon mehrfach dort und kann mich immer wieder aufs neue begeistern (lassen).

Unabhängig vom Stil (bitte auch meine andere Bewertung beachten), sticht es einfach durch die Dienstleistung der Jungs und Mädels heraus. Sehr aufmerksam und erfrischend. Sehr schöne Philosophie.

Also, wer ein modernes, junges und rockiges Hotel mit dem dazugehörigen Personal sucht ist hier definitiv richtig aufgehoben.",,4.0,,6.0,,6.0,,6.0,,4.0,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im Dezember 2018,Sonstige,26-30,29
5,Hotel Roomers,Max,6.0,tolles hotel in direkter läge. Ausstattung der zimmer hervorragend und freundliches personal. wellnessbereich ausgezeichnet.,,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,Paar,Keine Kinder,1-3 Tage im Dezember 2018,Wandern und Wellness,26-30,60
6,Hotel Roomers,Karsten,5.0,"Schönes Design-Hotel in Frankfurt mit toller Bar. Die Zimmer sind nicht die größten (die schwarz-dunkle Gestaltung trägt sicher dazu bei), aber zweckmäßig eingerichtet.",,,,,,,,,,,,5.0,Alleinreisend,Keine Kinder,1-3 Tage im November 2018,Arbeit,46-50,49
7,Hotel Roomers,Eugen,5.0,Nettes Design Hotel in etwas abgelegener Lage. Sehr Gutes Restaurant jedoch etwas kleine Zimmer. Geeignet sowohl für Geschäfts- als auch Privatreisen,,4.0,,5.0,,6.0,,6.0,,4.0,,5.0,Alleinreisend,Keine Kinder,1-3 Tage im November 2018,Arbeit,36-40,10
8,Hotel Roomers,Louca,6.0,"Super Hotel mit sehr gutem Essen, welches auch sehr abwechslungsreich ist. Zudem ist das Hotel sehr sauber und hat sehr freundlichiches Personal",,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,Alleinreisend,Keine Kinder,1-3 Tage im November 2018,Arbeit,51-55,3
9,Hotel Roomers,Sabine,5.0,Interessantes Stadthotel in Frankfurt mit ganz besonderem Style - alles in Schwarz! Zimmer war sehr ruhig und das extra Frühstück Buffett hat keine Wünsche offen gelassen!,Sehr zentral aber schwer von außen zu identifizieren,5.0,,,,,,,,,,,Paar,Keine Kinder,1-3 Tage im November 2018,Stadt,51-55,14
